,"GARAGE ZONE,Zone Air Temperature [C]","LIVING ZONE,Zone Air Temperature [C]","RES DS RES AC ASYS RET AIR ZONE,Zone Air Temperature [C]","RES DS RES FUR GAS ASYS RET AIR ZONE,Zone Air Temperature [C]","UNFINISHED ATTIC ZONE,Zone Air Temperature [C]","UNFINISHED BASEMENT ZONE,Zone Air Temperature [C]",UNIT 1:ELECTRICITYHEATING [J],UNIT 1:ELECTRICITYCOOLING [J],UNIT 1:ELECTRICITYINTERIORLIGHTING [J],CENTRAL:ELECTRICITYEXTERIORLIGHTING [J],CENTRAL:ELECTRICITYGARAGELIGHTING [J],UNIT 1:ELECTRICITYINTERIOREQUIPMENT [J],UNIT 1:ELECTRICITYFANSHEATING [J],UNIT 1:ELECTRICITYFANSCOOLING [J],UNIT 1:ELECTRICITYWATERSYSTEMS [J],UNIT 1:NATURALGASHEATING [J],UNIT 1:NATURALGASWATERSYSTEMS [J],Electricity:Facility [J],"Environment,Site Outdoor Air Wetbulb Temperature [C]",Electricity:Facility [J],NaturalGas:Facility [J]
2023-01-01 00:00:00,16.20604928073828,20.0,23.00000002531604,20.17930251886556,2.2591135601440038,21.034615905785444,69117.51857111126,0.0,172307.65550116322,38241.750072962146,4754.284698725945,1662908.3136937195,650056.5674825117,0.0,0.0,27025989.727465857,0.0,2597386.090020194,-0.9837318407531359,2597386.090020194,27110330.07903686
2023-01-01 01:00:00,15.705741555722376,19.999999999999996,23.00000002531604,20.168949927121528,1.300912155391127,21.04600212302027,76426.83384379651,0.0,103384.59330069821,22945.05004377735,2852.5708192355755,1546709.7899876577,718801.3444223948,0.0,0.0,29884041.977578998,0.0,2471120.18241756,-12.276077105225221,2471120.18241756,29968382.32915
2023-01-01 02:00:00,15.330108091148345,20.0,23.00000002531604,20.164323735633484,0.8296430082154663,20.98380469552769,77840.38910142957,0.0,68923.06220046543,15296.700029184893,1901.7138794903824,1539305.525620187,732095.960573558,0.0,0.0,30436763.352156293,0.0,2435363.351404315,-10.226056001238826,2435363.3514043153,30484957.838768292
2023-01-01 03:00:00,15.072736837187504,20.0,23.00000002531604,20.154467215325962,0.5680131263256327,20.930140348317277,79229.33005187177,0.0,68923.06220046543,15296.700029184893,1901.7138794903824,1497933.8337705282,745159.0769201235,0.0,0.0,30979860.162266545,1941642.1178902432,2408443.716851664,-8.358362869340064,2408443.716851664,32969696.766768795
2023-01-01 04:00:00,14.862275260389183,20.0,23.00000002531604,20.147729861031344,0.49166417649909505,20.884294948017565,79927.2242632616,0.0,76626.93513177375,17006.48815424566,2114.277883635867,1385181.298510479,751722.8356444075,0.0,0.0,31252747.299678378,0.0,2312579.0595878037,-5.247420761830555,2312579.0595878037,31337087.651249383
2023-01-01 05:00:00,14.696695212647677,20.0,23.00000002531604,20.13703398527256,0.5257337840472532,20.80199194986266,79133.73719639254,0.0,210255.32050738842,46663.808377915164,5801.330476040561,1502016.1975564358,744260.0173937788,0.0,0.0,30942481.91745091,0.0,2588130.411507951,-0.0005343590339180083,2588130.411507951,31075016.755633913
2023-01-01 06:00:00,14.547303922616798,20.0,23.00000002531604,20.116780433243722,0.5980773124136679,20.57598651090689,68814.33804845362,0.0,493621.45221486513,109553.74067013562,13619.92251825498,1787907.9403114927,647205.127008942,0.0,0.0,26907441.581347406,27682265.842240997,3120722.5207721433,-3.62853432927413,3120722.5207721437,54890922.96491341
2023-01-01 07:00:00,14.413390106652386,20.0,23.00000002531604,20.08964259861288,0.7009625973560997,20.55275559729225,72104.91306109432,0.0,624665.222757963,138637.43464271084,17235.6608401788,1965005.423727957,678153.2851891314,0.0,0.0,28194105.922423065,9467032.908777684,3495801.9402190354,-1.8975312079452917,3495801.9402190354,38167180.94062677
2023-01-01 08:00:00,14.305772380744829,20.0,23.00000002531604,20.068555144961106,0.938096687039038,20.280771898343374,65666.81076119035,0.0,663843.6880184186,147332.65524898536,18316.66665716116,1487183.9438441417,617602.3457356124,0.0,0.0,25676711.053240024,33663258.64348379,2999946.1102655097,1.7679857307677127,2999946.1102655097,59894206.29276183
2023-01-01 09:00:00,14.441740192088814,19.99999925751362,23.00000002531604,20.058965567616074,2.023460456004167,20.376118269501955,68038.29706690708,0.0,682384.8887856022,151447.666643743,18828.252441594468,1077933.6942645975,639906.3907823096,0.0,0.0,26603997.88098089,2253147.2565989103,2638539.189984754,7.423184460128235,2638539.189984754,29435478.976923823
2023-01-01 10:00:00,14.708816968833299,19.99999886828413,23.00000002531604,20.046858468313733,4.167658133946105,20.208143919503453,59799.76322909945,0.0,663831.3135861631,147329.908882643,18316.325223846692,1104496.8573793152,562422.2284684707,0.0,0.0,23382607.190560028,6112226.701261457,2556196.396769539,16.475363249943456,2556196.3967695385,30000876.001247503
